shop_name,shop_id
"!Якутск Орджоникидзе, 56 фран",0
"!Якутск ТЦ ""Центральный"" фран",1
"Адыгея ТЦ ""Мега""",2
"Балашиха ТРК ""Октябрь-Киномир""",3
"Волжский ТЦ ""Волга Молл""",4
"Вологда ТРЦ ""Мармелад""",5
"Воронеж (Плехановская, 13)",6
"Воронеж ТРЦ ""Максимир""",7
"Воронеж ТРЦ Сити-Парк ""Град""",8
Выездная Торговля,9
Жуковский ул. Чкалова 39м?,10
Жуковский ул. Чкалова 39м²,11
Интернет-магазин ЧС,12
"Казань ТЦ ""Бехетле""",13
"Казань ТЦ ""ПаркХаус"" II",14
"Калуга ТРЦ ""XXI век""",15
"Коломна ТЦ ""Рио""",16
"Красноярск ТЦ ""Взлетка Плаза""",17
"Красноярск ТЦ ""Июнь""",18
"Курск ТЦ ""Пушкинский""",19
"Москва ""Распродажа""",20
"Москва МТРЦ ""Афи Молл""",21
Москва Магазин С21,22
"Москва ТК ""Буденовский"" (пав.А2)",23
"Москва ТК ""Буденовский"" (пав.К7)",24
"Москва ТРК ""Атриум""",25
"Москва ТЦ ""Ареал"" (Беляево)",26
"Москва ТЦ ""МЕГА Белая Дача II""",27
"Москва ТЦ ""МЕГА Теплый Стан"" II",28
"Москва ТЦ ""Новый век"" (Новокосино)",29
"Москва ТЦ ""Перловский""",30
"Москва ТЦ ""Семеновский""",31
"Москва ТЦ ""Серебряный Дом""",32
"Мытищи ТРК ""XL-3""",33
"Н.Новгород ТРЦ ""РИО""",34
"Н.Новгород ТРЦ ""Фантастика""",35
"Новосибирск ТРЦ ""Галерея Новосибирск""",36
"Новосибирск ТЦ ""Мега""",37
"Омск ТЦ ""Мега""",38
"РостовНаДону ТРК ""Мегацентр Горизонт""",39
"РостовНаДону ТРК ""Мегацентр Горизонт"" Островной",40
"РостовНаДону ТЦ ""Мега""",41
"СПб ТК ""Невский Центр""",42
"СПб ТК ""Сенная""",43
"Самара ТЦ ""Мелодия""",44
"Самара ТЦ ""ПаркХаус""",45
"Сергиев Посад ТЦ ""7Я""",46
"Сургут ТРЦ ""Сити Молл""",47
"Томск ТРЦ ""Изумрудный Город""",48
"Тюмень ТРЦ ""Кристалл""",49
"Тюмень ТЦ ""Гудвин""",50
"Тюмень ТЦ ""Зеленый Берег""",51
"Уфа ТК ""Центральный""",52
"Уфа ТЦ ""Семья"" 2",53
"Химки ТЦ ""Мега""",54
Цифровой склад 1С-Онлайн,55
"Чехов ТРЦ ""Карнавал""",56
"Якутск Орджоникидзе, 56",57
"Якутск ТЦ ""Центральный""",58
"Ярославль ТЦ ""Альтаир""",59
